sim_type,sim_name,As,bary_Mc,bary_nu,H0,O_cdm,O_nu,Ob,Om,ns,s8,w0
grid,cosmo_000583,1.1718137950287476e-08,121061991113085.9,0.98046875,64.615234375,0.104772378131,0.0015459812440000026,0.054228515625,0.160546875,0.9600390625,0.9244140625,-1.073708007812
grid,cosmo_000584,5.364811117257305e-09,186426571412619.47,-1.26953125,70.240234375,0.13938507501,0.0013082843650000023,0.044853515625,0.185546875,0.9225390625,0.8619140625,-0.969520507812
grid,cosmo_000586,9.300448577385776e-10,1048353652188.6567,-0.26953125,65.740234375,0.431699837756,0.001493521618999974,0.052353515625,0.485546875,0.9725390625,0.6119140625,-0.552770507813
grid,cosmo_000587,2.8589610315702e-09,33151853342721.207,1.73046875,74.740234375,0.247037872168,0.0011554872069999833,0.037353515625,0.285546875,0.8725390625,1.1119140625,-1.386270507812
grid,cosmo_000591,2.473876205779856e-08,78615433310880.52,-0.76953125,76.990234375,0.0858544224243,0.0010889369507000105,0.048603515625,0.135546875,1.0475390625,1.2369140625,-0.761145507813
grid,cosmo_000594,3.893530123229164e-10,63351632771056.83,-0.89453125,77.552734375,0.410557661473,0.0010731979020000212,0.036416015625,0.448046875,0.9412890625,0.5181640625,-0.813239257813
grid,cosmo_000598,1.0501589266312826e-09,150230396164017.4,1.60546875,79.802734375,0.349367324951,0.00101353442400004,0.047666015625,0.398046875,1.0162890625,0.8931640625,-1.438364257812
grid,cosmo_000599,1.5123637595625492e-08,4750702256677.176,-0.39453125,70.802734375,0.164093280262,0.0012875791129999953,0.032666015625,0.198046875,0.9162890625,1.3931640625,-0.604864257812
grid,cosmo_000601,1.260828934898683e-09,231343772073396.53,-0.14453125,76.427734375,0.337400834497,0.001105024878000023,0.034541015625,0.373046875,0.9787890625,0.9556640625,-1.542551757812
grid,cosmo_000602,6.917550800212308e-10,41139386651885.86,0.85546875,71.927734375,0.429758242321,0.0012476170539999637,0.042041015625,0.473046875,1.0287890625,0.7056640625,-1.125801757812
